FullName;Group;OldName;NewName;ID;Priority
abseil-duration-addition;abseil;duration-addition;Duration Addition;CT_DA;Major
abseil-duration-comparison;abseil;duration-comparison;Duration Comparison;CT_DC;Major
abseil-duration-conversion-cast;abseil;duration-conversion-cast;Duration Conversion Cast;CT_DCC;Major
abseil-duration-division;abseil;duration-division;Duration Division;CT_DD;Major
abseil-duration-factory-float;abseil;duration-factory-float;Duration Factory Float;CT_DFF;Major
abseil-duration-factory-scale;abseil;duration-factory-scale;Duration Factory Scale;CT_DFS;Major
abseil-duration-subtraction;abseil;duration-subtraction;Duration Subtraction;CT_DS;Major
abseil-duration-unnecessary-conversion;abseil;duration-unnecessary-conversion;Duration Unnecessary Conversion;CT_DUC;Major
abseil-faster-strsplit-delimiter;abseil;faster-strsplit-delimiter;Faster Strsplit Delimiter;CT_FSD;Major
abseil-no-internal-dependencies;abseil;no-internal-dependencies;No Internal Dependencies;CT_NID;Major
abseil-no-namespace;abseil;no-namespace;No Namespace;CT_NN;Major
abseil-redundant-strcat-calls;abseil;redundant-strcat-calls;Redundant Strcat Calls;CT_RSC;Major
abseil-str-cat-append;abseil;str-cat-append;Str Cat Append;CT_SCA;Major
abseil-string-find-startswith;abseil;string-find-startswith;String Find Startswith;CT_SFS;Major
abseil-string-find-str-contains;abseil;string-find-str-contains;String Find Str Contains;CT_SFSC;Major
abseil-time-comparison;abseil;time-comparison;Time Comparison;CT_TC;Major
abseil-time-subtraction;abseil;time-subtraction;Time Subtraction;CT_TS;Major
abseil-upgrade-duration-conversions;abseil;upgrade-duration-conversions;Upgrade Duration Conversions;CT_UDC;Major
altera-kernel-name-restriction;altera;kernel-name-restriction;Kernel Name Restriction;CT_KNR;Major
altera-single-work-item-barrier;altera;single-work-item-barrier;Single Work Item Barrier;CT_SWIB;Major
altera-struct-pack-align;altera;struct-pack-align;Struct Pack Align;CT_SPA;Major
android-cloexec-accept;android;cloexec-accept;Cloexec Accept;CT_CA;Major
android-cloexec-accept4;android;cloexec-accept4;Cloexec Accept4;CT_CA_2;Major
android-cloexec-creat;android;cloexec-creat;Cloexec Creat;CT_CC;Major
android-cloexec-dup;android;cloexec-dup;Cloexec Dup;CT_CD;Major
android-cloexec-epoll-create;android;cloexec-epoll-create;Cloexec Epoll Create;CT_CEC;Major
android-cloexec-epoll-create1;android;cloexec-epoll-create1;Cloexec Epoll Create1;CT_CEC_2;Major
android-cloexec-fopen;android;cloexec-fopen;Cloexec Fopen;CT_CF;Major
android-cloexec-inotify-init;android;cloexec-inotify-init;Cloexec Inotify Init;CT_CII;Major
android-cloexec-inotify-init1;android;cloexec-inotify-init1;Cloexec Inotify Init1;CT_CII_2;Major
android-cloexec-memfd-create;android;cloexec-memfd-create;Cloexec Memfd Create;CT_CMC;Major
android-cloexec-open;android;cloexec-open;Cloexec Open;CT_CO;Major
android-cloexec-pipe;android;cloexec-pipe;Cloexec Pipe;CT_CP;Major
android-cloexec-pipe2;android;cloexec-pipe2;Cloexec Pipe2;CT_CP_2;Major
android-cloexec-socket;android;cloexec-socket;Cloexec Socket;CT_CS;Major
android-comparison-in-temp-failure-retry;android;comparison-in-temp-failure-retry;Comparison In Temp Failure Retry;CT_CITFR;Major
boost-use-to-string;boost;use-to-string;Use To String;CT_UTS;Major
bugprone-argument-comment;bugprone;argument-comment;Argument Comment;CT_AC;Major
bugprone-assert-side-effect;bugprone;assert-side-effect;Assert Side Effect;CT_ASE;Major
bugprone-bad-signal-to-kill-thread;bugprone;bad-signal-to-kill-thread;Bad Signal To Kill Thread;CT_BSTKT;Major
bugprone-bool-pointer-implicit-conversion;bugprone;bool-pointer-implicit-conversion;Bool Pointer Implicit Conversion;CT_BPIC;Major
bugprone-branch-clone;bugprone;branch-clone;Branch Clone;CT_BC;Major
bugprone-copy-constructor-init;bugprone;copy-constructor-init;Copy Constructor Init;CT_CCI;Major
bugprone-dangling-handle;bugprone;dangling-handle;Dangling Handle;CT_DH;Major
bugprone-dynamic-static-initializers;bugprone;dynamic-static-initializers;Dynamic Static Initializers;CT_DSI;Major
bugprone-exception-escape;bugprone;exception-escape;Exception Escape;CT_EE;Major
bugprone-fold-init-type;bugprone;fold-init-type;Fold Init Type;CT_FIT;Major
bugprone-forward-declaration-namespace;bugprone;forward-declaration-namespace;Forward Declaration Namespace;CT_FDN;Major
bugprone-forwarding-reference-overload;bugprone;forwarding-reference-overload;Forwarding Reference Overload;CT_FRO;Major
bugprone-inaccurate-erase;bugprone;inaccurate-erase;Inaccurate Erase;CT_IE;Major
bugprone-incorrect-roundings;bugprone;incorrect-roundings;Incorrect Roundings;CT_IR;Major
bugprone-infinite-loop;bugprone;infinite-loop;Infinite Loop;CT_IL;Major
bugprone-integer-division;bugprone;integer-division;Integer Division;CT_ID;Major
bugprone-lambda-function-name;bugprone;lambda-function-name;Lambda Function Name;CT_LFN;Major
bugprone-macro-parentheses;bugprone;macro-parentheses;Macro Parentheses;CT_MP;Major
bugprone-macro-repeated-side-effects;bugprone;macro-repeated-side-effects;Macro Repeated Side Effects;CT_MRSE;Major
bugprone-misplaced-operator-in-strlen-in-alloc;bugprone;misplaced-operator-in-strlen-in-alloc;Misplaced Operator In Strlen In Alloc;CT_MOISIA;Major
bugprone-misplaced-pointer-arithmetic-in-alloc;bugprone;misplaced-pointer-arithmetic-in-alloc;Misplaced Pointer Arithmetic In Alloc;CT_MPAIA;Major
bugprone-misplaced-widening-cast;bugprone;misplaced-widening-cast;Misplaced Widening Cast;CT_MWC;Major
bugprone-move-forwarding-reference;bugprone;move-forwarding-reference;Move Forwarding Reference;CT_MFR;Major
bugprone-multiple-statement-macro;bugprone;multiple-statement-macro;Multiple Statement Macro;CT_MSM;Major
bugprone-no-escape;bugprone;no-escape;No Escape;CT_NE;Major
bugprone-not-null-terminated-result;bugprone;not-null-terminated-result;Not Null Terminated Result;CT_NNTR;Major
bugprone-parent-virtual-call;bugprone;parent-virtual-call;Parent Virtual Call;CT_PVC;Major
bugprone-posix-return;bugprone;posix-return;Posix Return;CT_PR;Major
bugprone-redundant-branch-condition;bugprone;redundant-branch-condition;Redundant Branch Condition;CT_RBC;Major
bugprone-reserved-identifier;bugprone;reserved-identifier;Reserved Identifier;CT_RI;Major
bugprone-signal-handler;bugprone;signal-handler;Signal Handler;CT_SH;Major
bugprone-signed-char-misuse;bugprone;signed-char-misuse;Signed Char Misuse;CT_SCM;Major
bugprone-sizeof-container;bugprone;sizeof-container;Sizeof Container;CT_SC;Major
bugprone-sizeof-expression;bugprone;sizeof-expression;Sizeof Expression;CT_SE;Major
bugprone-spuriously-wake-up-functions;bugprone;spuriously-wake-up-functions;Spuriously Wake Up Functions;CT_SWUF;Major
bugprone-string-constructor;bugprone;string-constructor;String Constructor;CT_SC_2;Major
bugprone-string-integer-assignment;bugprone;string-integer-assignment;String Integer Assignment;CT_SIA;Major
