OriginalID;ID;NewName;Enabled
accessForwarded;AF;Access Forwarded;1
accessMoved;AM;Access Moved;1
arithOperationsOnVoidPointer;AOOVP;Arithmetic Operations On Void Pointer;1
arrayIndexOutOfBounds;AIOOB;Array Index Out Of Bounds;1
arrayIndexOutOfBoundsCond;AIOOBC;Array Index Out Of Bounds Cond;1
arrayIndexThenCheck;AITC;Array Index Then Check;1
assertWithSideEffect;AWSE;Assert With Side Effect;1
assignBoolToFloat;ABTF;Assign Bool To Float;1
assignBoolToPointer;ABTP;Assign Bool To Pointer;1
assignIfError;AIE;Assign If Error;1
AssignmentAddressToInteger;AATI;Assignment Address To Integer;1
assignmentInAssert;AIA;Assignment In Assert;1
assignmentInCondition;AIC;Assignment In Condition;1
AssignmentIntegerToAddress;AITA;Assignment Integer To Address;1
autoVariables;AV;Auto Variables;1
autovarInvalidDeallocation;AID;Autovar Invalid Deallocation;1
badBitmaskCheck;BBC;Bad Bitmask Check;1
bitwiseOnBoolean;BOB;Bitwise On Boolean;1
boostForeachError;BFE;Boost Foreach Error;1
bufferAccessOutOfBounds;BAOOB;Buffer Access Out Of Bounds;1
CastAddressToIntegerAtReturn;CATIAR;Cast Address To Integer At Return;1
CastIntegerToAddressAtReturn;CITAAR;Cast Integer To Address At Return;1
catchExceptionByValue;CEBV;Catch Exception By Value;1
charBitOp;CBO;Char Bit Op;1
charLiteralWithCharPtrCompare;CLWCPC;Char Literal With Char Ptr Compare;1
checkCastIntToCharAndBack;CCITCAB;Check Cast Int To Char And Back;1
clarifyCalculation;CCALC;Clarify Calculation;1
clarifyCondition;CCOND;Clarify Condition;1
clarifyStatement;CSTAT;Clarify Statement;1
commaSeparatedReturn;CSR;Comma Separated Return;1
compareBoolExpressionWithInt;CBEWI;Compare Bool Expression With Int;1
comparePointers;CP;Compare Pointers;1
comparisonError;CE;Comparison Error;1
comparisonFunctionIsAlwaysTrueOrFalse;CFIATOF;Comparison Function Is Always True Or False;1
comparisonOfBoolWithBoolError;COBWBE;Comparison Of Bool With Bool Error;1
comparisonOfBoolWithInvalidComparator;COBWIC;Comparison Of Bool With Invalid Comparator;1
comparisonOfFuncReturningBoolError;COFRBE;Comparison Of Func Returning Bool Error;1
comparisonOfTwoFuncsReturningBoolError;COTFRBE;Comparison Of Two Funcs Returning Bool Error;1
constStatement;CS;Const Statement;1
constVariable;CV;Const Variable;1
containerOutOfBounds;COOB;Container Out Of Bounds;1
copyCtorAndEqOperator;CCAEO;Copy Constructor And Eq Operator;1
copyCtorPointerCopying;CCPC;Copy Ctor Pointer Copying;1
coutCerrMisusage;CCM;Cout Cerr Misusage;1
cstyleCast;CSC;Cstyle Cast;1
danglingLifetime;DL;Dangling Lifetime;1
danglingReference;DR;Dangling Reference;1
danglingTemporaryLifetime;DTL;Dangling Temporary Lifetime;1
danglingTempReference;DTR;Dangling Temporary Reference;1
deallocDealloc;DD;Dealloc Dealloc;1
deallocret;DAR;Deallocret;1
deallocuse;DU;Deallocuse;1
derefInvalidIterator;DII;Deref Invalid Iterator;1
divideSizeof;DSO;Divide Sizeof;1
doubleFree;DF;Double Free;1
duplicateAssignExpression;DAE;Duplicate Assign Expression;1
duplicateBranch;DBRANCH;Duplicate Branch;1
duplicateBreak;DBREAK;Duplicate Break;1
duplicateCondition;DCOND;Duplicate Condition;1
duplicateConditionalAssign;DCONDA;Duplicate Condition and Assignement;1
duplicateExpression;DEXPR;Duplicate Expression;1
duplicateExpressionTernary;DET;Duplicate Expression Ternary;1
duplicateValueTernary;DVT;Duplicate Value Ternary;1
duplInheritedMember;DIM;Dupl Inherited Member;1
eraseDereference;ED;Erase Dereference;1
exceptDeallocThrow;EDT;Except Dealloc Throw;1
exceptRethrowCopy;ERC;Except Rethrow Copy;1
exceptThrowInDestructor;ETID;Except Throw In Destructor;1
fflushOnInputStream;FOIS;Fflush On Input Stream;1
floatConversionOverflow;FCO;Float Conversion Overflow;1
funcArgNamesDifferent;FAND;Function Argument Names Different;1
funcArgOrderDifferent;FAOD;Function Argument Order Different;1
functionConst;FC;Function Const;1
functionStatic;FS;Function Static;1
globalLockGuard;GLG;Global Lock Guard;1
identicalConditionAfterEarlyExit;ICAEE;Identical Condition After Early Exit;1
identicalInnerCondition;IIC;Identical Inner Condition;1
ignoredReturnValue;IRV;Ignored Return Value;1
incompleteArrayFill;IAF;Incomplete Array Fill;1
incorrectCharBooleanError;ICBE;Incorrect Char Boolean Error;1
incorrectLogicOperator;ILO;Incorrect Logic Operator;1
incorrectStringBooleanError;ISBE;Incorrect String Boolean Error;1
incorrectStringCompare;ISC;Incorrect String Compare;1
incrementboolean;IB;Increment Boolean;1
initializerList;IL;Initializer List;1
integerOverflow;IO;Integer Overflow;1
invalidContainer;IC;Invalid Container;1
invalidContainerLoop;ICL;Invalid Container Loop;1
invalidFree;IF;Invalid Free;1
invalidFunctionArg;IFA;Invalid Function Arguments;1
invalidFunctionArgBool;IFAB;Invalid Function Argument Boolean;1
invalidFunctionArgStr;IFAS;Invalid Function Argument String;1
invalidIterator1;IIT;Invalid Iterator1;1
invalidLengthModifierError;ILME;Invalid Length Modifier Error;1
invalidLifetime;ILT;Invalid Lifetime;1
invalidPointerCast;IPC;Invalid Pointer Cast;1
invalidPrintfArgType_float;IPATF;Invalid Printf Arg Type_float;1
invalidPrintfArgType_n;IPATN;Invalid Printf Arg Type_n;1
invalidPrintfArgType_p;IPATP;Invalid Printf Arg Type_p;1
invalidPrintfArgType_s;IPATS;Invalid Printf Arg Type_s;1
invalidPrintfArgType_sint;IPATSI;Invalid Printf Arg Type_sint;1
invalidPrintfArgType_uint;IPATUI;Invalid Printf Arg Type_uint;1
invalidscanf;IS;Invalid Scanf;1
invalidScanfArgType_float;ISATF;Invalid Scanf Arg Type_float;1
invalidScanfArgType_int;ISATI;Invalid Scanf Arg Type_int;1
