ID;Name;Enabled;Priority
AAA;AvoidAccessibilityAlteration;1;Major
AAAI;AvoidAssertAsIdentifier;0;Minor
AAL;AvoidArrayLoops;1;Major
ABSALIL;AvoidBranchingStatementAsLastInLoop;1;Major
ACDC;AvoidCalendarDateCreation;1;Minor
ACF;AvoidCallingFinalize;1;Major
ACG;AccessorClassGeneration;0;Minor
ACGE;AvoidCatchingGenericException;1;Major
ACNPE;AvoidCatchingNPE;1;Critical
ACT;AvoidCatchingThrowable;1;Major
ACWAM;AbstractClassWithoutAbstractMethod;1;Minor
ACWC;AppendCharacterWithChar;0;Minor
ADL;AvoidDuplicateLiterals;1;Major
ADLIBDC;AvoidDecimalLiteralsInBigDecimalConstructor;1;Critical
ADNIS;AvoidDeeplyNestedIfStmts;0;Minor
ADS;AvoidDollarSigns;1;Minor
AEAI;AvoidEnumAsIdentifier;0;Minor
AES;AddEmptyString;1;Minor
AFLV;AvoidFinalLocalVariable;0;Minor
AFNMMN;AvoidFieldNameMatchingMethodName;1;Minor
AFNMTN;AvoidFieldNameMatchingTypeName;1;Minor
AFS;AvoidFileStream;1;Critical
AICICC;AvoidInstanceofChecksInCatchClause;1;Major
AIO;AssignmentInOperand;1;Minor
AIOIL;AvoidInstantiatingObjectsInLoops;0;Minor
AISD;ArrayIsStoredDirectly;1;Major
ALEI;AvoidLosingExceptionInformation;1;Major
ALIIC;AvoidLiteralsInIfCondition;0;Minor
ALOC;AtLeastOneConstructor;0;Minor
AMDF;AvoidMessageDigestField;1;Major
AMG;AccessorMethodGeneration;1;Minor
AMUO;AvoidMultipleUnaryOperators;1;Major
AN;AbstractNaming;0;Minor
APFIFC;AvoidProtectedFieldInFinalClass;1;Minor
APMIFCNE;AvoidProtectedMethodInFinalClassNotExtending;1;Minor
APMP;AvoidPrefixingMethodParameters;1;Minor
APST;AvoidPrintStackTrace;1;Major
ARCV;AvoidReassigningCatchVariables;1;Minor
ARE;AvoidRethrowingException;1;Minor
ARLV;AvoidReassigningLoopVariables;1;Minor
ARP;AvoidReassigningParameters;1;Minor
