AB;apply-builtin
ABIS;anomalous-backslash-in-string
ACI;abstract-class-instantiated
ACLU;abstract-class-little-used
ACNU;abstract-class-not-used
AD;arguments-differ
ADOI;attribute-defined-outside-init
AE;astroid-error
AFN;assignment-from-none
AFNR;assignment-from-no-return
AM;abstract-method
AMBD;access-member-before-definition
ANS;assigning-non-slot
AOT;assert-on-tuple
ATNK;assign-to-new-keyword
AUEIS;anomalous-unicode-escape-in-string
B;backtick
BB;bad-builtin
BC;bad-continuation
BCA;bad-classmethod-argument
BCM;bad-context-manager
BD;boolean-datetime
BE;bare-except
BEC;bad-exception-context
BEO;bad-except-order
BFC;bad-format-character
BFS;bad-format-string
BFSK;bad-format-string-key
BI;bad-indentation
BIO;bad-inline-option
BMCA;bad-mcs-classmethod-argument
BMMA;bad-mcs-method-argument
BN;blacklisted-name
BOE;binary-op-exception
BOM;bad-open-mode
BOV;bad-option-value
BP3I;bad-python3-import
BRS;bad-reversed-sequence
BSA;bad-staticmethod-argument
BSC;bad-super-call
BSSC;bad-str-strip-call
BTI;bad-thread-instantiation
BW;bad-whitespace
BaB;basestring-builtin
BrE;broad-except
BuB;buffer-builtin
CB;cmp-builtin
CE;comprehension-escape
CENM;c-extension-no-member
CI;cyclic-import
CID;consider-iterating-dictionary
CIF;continue-in-finally
CM;cmp-method
CMI;consider-merging-isinstance
CNE;catching-non-exception
CUE;consider-using-enumerate
CUT;consider-using-ternary
CVFL;cell-var-from-loop
CWS;confusing-with-statement
CoB;coerce-builtin
CoM;coerce-method
DAN;duplicate-argument-name
DB;duplicate-bases
DC;duplicate-code
DDV;dangerous-default-value
DE;duplicate-except
DIF;deprecated-itertools-function
DIM;dict-iter-method
DINI;dict-items-not-iterating
DK;duplicate-key
DKNI;dict-keys-not-iterating
DL;deprecated-lambda
DM;delslice-method
DOF;deprecated-operator-function
DP;deprecated-pragma
DSF;deprecated-string-function
DSTC;deprecated-str-translate-call
DTF;deprecated-types-field
DUF;deprecated-urllib-function
DVM;dict-view-method
DVNI;dict-values-not-iterating
DeM;deprecated-module
DeSF;deprecated-sys-function
DepM;deprecated-method
DiM;div-method
EB;execfile-builtin
ED;empty-docstring
EE;exception-escape
EMA;exception-message-attribute
ENA;expression-not-assigned
EU;eval-used
EWH;eq-without-hash
ExU;exec-used
F;fatal
FB;file-builtin
FBNI;filter-builtin-not-iterating
FCS;format-combined-specification
FI;file-ignored
FNM;format-needs-mapping
FR;function-redefined
Fi;fixme
GAML;global-at-module-level
GM;getslice-method
GS;global-statement
GVNA;global-variable-not-assigned
GVU;global-variable-undefined
HM;hex-method
IAO;invalid-all-object
IB;input-builtin
IBM;ignored-builtin-module
ICID;invalid-characters-in-docstring
IE;import-error
IED;invalid-encoded-data
IFI;invalid-format-index
IIG;init-is-generator
IINC;interface-is-not-class
ILR;invalid-length-returned
IM;inconsistent-mro
IME;implicit-map-evaluation
IN;invalid-name
INC;inherit-non-class
INI;interface-not-implemented
IRS;inconsistent-return-statements
IS;import-self
ISAT;invalid-star-assignment-target
ISC;invalid-str-codec
ISI;invalid-sequence-index
ISML;import-star-module-level
ISO;invalid-slots-object
IUL;invalid-unicode-literal
IUOT;invalid-unary-operand-type
IdM;idiv-method
InB;intern-builtin
InE;indexing-exception
InM;invalid-metaclass
InS;invalid-slots
InSI;invalid-slice-index
KABV;keyword-arg-before-vararg
LAC;len-as-condition
LB;long-builtin
LC;literal-comparison
LD;locally-disabled
LE;locally-enabled
